,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1004.3 ,... ,1017.1 ,2016-01-24 22:02 ,992.7 ,2016-01-17 14:15 ,17.0 ,29.2 ,2016-01-05 13:01 ,4.0 ,2016-01-24 22:32 ,... ,0.8 ,117 ,9.1 ,306 ,2016-01-17 13:28 ,184.0 ,... ,14 ,... , ,... , ,81.0 ,2016-01-03 00:00 ,92 ,... ,... ,... ,... ,... , ,... 
1,02,1005.1 ,... ,1012.7 ,2016-02-25 09:04 ,997.0 ,2016-02-13 14:55 ,16.9 ,31.6 ,2016-02-13 13:54 ,6.1 ,2016-02-07 06:43 ,... ,0.9 ,1 ,10.1 ,279 ,2016-02-11 16:26 ,15.0 ,... ,5 ,... , ,... , ,6.0 ,2016-02-05 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
2,03,1001.9 ,... ,1009.5 ,2016-03-02 08:51 ,994.6 ,2016-03-08 15:43 ,19.0 ,31.1 ,2016-03-18 13:33 ,9.8 ,2016-03-28 04:31 ,... ,0.9 ,104 ,10.4 ,306 ,2016-03-13 22:44 ,128.5 ,... ,10 ,... , ,... , ,22.0 ,2016-03-10 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
3,04,997.5 ,... ,1004.2 ,2016-04-19 09:03 ,990.7 ,2016-04-13 14:01 ,24.9 ,34.3 ,2016-04-07 13:02 ,18.8 ,2016-04-19 01:57 ,... ,0.9 ,1 ,10.2 ,86 ,2016-04-15 05:44 ,243.0 ,... ,10 ,... , ,... , ,73.5 ,2016-04-14 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
4,05,995.7 ,... ,1000.7 ,2016-05-14 09:31 ,991.0 ,2016-05-24 16:05 ,26.9 ,36.1 ,2016-05-06 13:21 ,20.6 ,2016-05-18 03:21 ,... ,0.9 ,3 ,9.1 ,98 ,2016-05-15 16:57 ,199.5 ,... ,13 ,... , ,... , ,55.0 ,2016-05-24 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,994.7 ,... ,1000.5 ,2016-06-29 22:21 ,990.5 ,2016-06-08 16:12 ,27.4 ,35.8 ,2016-06-25 13:12 ,22.4 ,2016-06-13 22:24 ,... ,0.8 ,120 ,11.4 ,290 ,2016-06-13 08:27 ,457.5 ,... ,20 ,... , ,... , ,98.5 ,2016-06-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
6,07,993.0 ,... ,998.5 ,2016-07-21 07:54 ,966.3 ,2016-07-08 09:43 ,27.8 ,36.4 ,2016-07-06 13:06 ,22.4 ,2016-07-20 05:32 ,... ,1.2 ,21 ,26.2 ,131 ,2016-07-08 11:41 ,485.5 ,... ,16 ,... , ,... , ,109.5 ,2016-07-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
7,08,989.7 ,... ,996.5 ,2016-08-03 21:41 ,984.5 ,2016-08-09 16:03 ,27.3 ,35.4 ,2016-08-04 13:13 ,22.1 ,2016-08-20 05:14 ,... ,0.9 ,88 ,9.3 ,113 ,2016-08-19 15:25 ,318.5 ,... ,20 ,... , ,... , ,87.0 ,2016-08-19 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
8,09,992.0 ,... ,1000.0 ,2016-09-21 21:16 ,959.2 ,2016-09-27 17:34 ,26.4 ,35.0 ,2016-09-30 12:01 ,22.1 ,2016-09-20 05:46 ,... ,1.2 ,6 ,25.4 ,299 ,2016-09-27 15:40 ,956.0 ,... ,20 ,... , ,... , ,256.5 ,2016-09-27 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
9,10,996.1 ,... ,1004.7 ,2016-10-31 08:16 ,986.6 ,2016-10-20 16:14 ,26.4 ,35.0 ,2016-10-05 13:36 ,21.6 ,2016-10-10 01:55 ,... ,0.9 ,117 ,9.2 ,187 ,2016-10-21 16:24 ,107.5 ,... ,10 ,... , ,... , ,43.5 ,2016-10-11 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
10,11,1000.6 ,... ,1006.7 ,2016-11-29 09:44 ,995.3 ,2016-11-05 14:11 ,22.9 ,32.6 ,2016-11-19 13:23 ,17.1 ,2016-11-28 02:41 ,... ,0.8 ,110 ,6.6 ,124 ,2016-11-20 12:26 ,52.5 ,... ,4 ,... , ,... , ,44.0 ,2016-11-27 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
11,12,1002.6 ,... ,1008.8 ,2016-12-16 08:56 ,996.0 ,2016-12-09 14:22 ,19.8 ,30.4 ,2016-12-20 14:09 ,12.5 ,2016-12-17 06:11 ,... ,0.8 ,289 ,7.2 ,295 ,2016-12-13 14:53 ,3.5 ,... ,2 ,... , ,... , ,3.0 ,2016-12-28 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
