,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1016.9 ,... ,1030.6 ,2016-01-24 19:33 ,1005.6 ,2016-01-17 14:42 ,16.8 ,25.0 ,2016-01-04 14:54 ,5.0 ,2016-01-24 09:06 ,... ,2.2 ,9 ,17.3 ,11 ,2016-01-23 18:40 ,167.0 ,... ,15 ,... , ,... , ,26.5 ,2016-01-29 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
1,02,1018.2 ,... ,1025.5 ,2016-02-25 09:31 ,1009.1 ,2016-02-13 13:35 ,16.2 ,31.2 ,2016-02-13 13:05 ,9.3 ,2016-02-07 06:41 ,... ,2.4 ,1 ,16.5 ,12 ,2016-02-06 11:42 ,13.5 ,... ,4 ,... , ,... , ,10.5 ,2016-02-11 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
2,03,1014.8 ,... ,1022.7 ,2016-03-28 09:24 ,1007.3 ,2016-03-08 15:21 ,18.3 ,29.6 ,2016-03-18 12:21 ,10.8 ,2016-03-11 03:13 ,... ,1.9 ,3 ,13.9 ,34 ,2016-03-10 16:41 ,152.5 ,... ,16 ,... , ,... , ,49.0 ,2016-03-10 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
3,04,1009.8 ,... ,1017.3 ,2016-04-19 08:46 ,1001.3 ,2016-04-13 14:13 ,24.9 ,33.2 ,2016-04-21 12:04 ,17.2 ,2016-04-19 05:02 ,... ,1.7 ,1 ,12.9 ,266 ,2016-04-10 15:26 ,141.5 ,... ,10 ,... , ,... , ,25.5 ,2016-04-14 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
4,05,1007.8 ,... ,1012.7 ,2016-05-14 09:11 ,1002.6 ,2016-05-24 16:15 ,27.8 ,34.9 ,2016-05-27 15:01 ,19.2 ,2016-05-17 05:12 ,... ,1.8 ,5 ,11.5 ,199 ,2016-05-10 19:38 ,57.0 ,... ,7 ,... , ,... , ,22.5 ,2016-05-01 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,1006.4 ,... ,1012.6 ,2016-06-29 22:01 ,1002.0 ,2016-06-13 18:32 ,29.4 ,34.9 ,2016-06-01 14:41 ,23.9 ,2016-06-06 11:52 ,... ,2.0 ,126 ,12.8 ,201 ,2016-06-12 10:12 ,202.5 ,... ,10 ,... , ,... , ,52.0 ,2016-06-13 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
6,07,1004.6 ,... ,1010.8 ,2016-07-21 09:24 ,983.4 ,2016-07-08 13:11 ,30.1 ,35.8 ,2016-07-29 11:43 ,24.0 ,2016-07-03 19:21 ,... ,2.2 ,5 ,17.1 ,195 ,2016-07-12 11:57 ,67.5 ,... ,10 ,... , ,... , ,31.5 ,2016-07-03 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
7,08,1001.4 ,... ,1008.3 ,2016-08-03 21:59 ,996.5 ,2016-08-01 06:25 ,29.6 ,34.8 ,2016-08-27 14:11 ,25.7 ,2016-08-20 03:21 ,... ,1.7 ,9 ,12.7 ,58 ,2016-08-02 15:10 ,162.0 ,... ,12 ,... , ,... , ,44.5 ,2016-08-17 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1003.5 ,... ,1012.0 ,2016-09-21 08:55 ,959.0 ,2016-09-27 15:25 ,28.1 ,34.6 ,2016-09-05 10:02 ,24.4 ,2016-09-07 19:54 ,... ,2.3 ,4 ,41.0 ,324 ,2016-09-27 15:14 ,143.0 ,... ,14 ,... , ,... , ,55.0 ,2016-09-28 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
9,10,1008.1 ,... ,1017.4 ,2016-10-31 07:51 ,998.4 ,2016-10-20 14:22 ,27.5 ,34.5 ,2016-10-21 13:01 ,22.1 ,2016-10-31 05:33 ,... ,1.8 ,3 ,12.6 ,17 ,2016-10-29 14:16 ,16.0 ,... ,5 ,... , ,... , ,4.5 ,2016-10-06 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
10,11,1013.3 ,... ,1019.1 ,2016-11-29 09:45 ,1008.3 ,2016-11-05 14:01 ,23.4 ,31.2 ,2016-11-19 11:22 ,16.8 ,2016-11-29 05:46 ,... ,2.0 ,20 ,13.8 ,17 ,2016-11-08 19:23 ,51.0 ,... ,8 ,... , ,... , ,28.5 ,2016-11-23 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
11,12,1015.0 ,... ,1021.5 ,2016-12-16 09:30 ,1008.0 ,2016-12-09 14:41 ,19.9 ,28.8 ,2016-12-21 12:23 ,13.2 ,2016-12-28 11:31 ,... ,2.3 ,6 ,18.5 ,36 ,2016-12-27 10:42 ,6.5 ,... ,1 ,... , ,... , ,6.5 ,2016-12-28 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
