,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,970.4 ,... ,980.0 ,2013-01-18 09:19 ,956.3 ,2013-01-13 14:14 ,13.9 ,25.5 ,2013-01-13 12:44 ,6.2 ,2013-01-18 06:01 ,... ,1.0 ,94 ,16.4 ,338 ,2013-01-13 16:50 ,221.5 ,... ,21 ,... , ,... , ,26.0 ,2013-01-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,969.1 ,... ,976.8 ,2013-02-23 09:43 ,962.0 ,2013-02-18 15:25 ,16.7 ,26.8 ,2013-02-04 12:02 ,10.3 ,2013-02-09 03:53 ,... ,0.9 ,80 ,8.9 ,49 ,2013-02-24 09:33 ,190.0 ,... ,21 ,... , ,... , ,33.5 ,2013-02-07 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,966.6 ,... ,976.0 ,2013-03-05 08:55 ,957.3 ,2013-03-24 14:52 ,17.5 ,29.1 ,2013-03-23 10:50 ,-10.0 ,2013-03-27 20:56 ,... ,0.9 ,57 ,14.8 ,55 ,2013-03-27 14:29 ,103.5 ,... ,17 ,... , ,... , ,18.0 ,2013-03-28 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,963.7 ,... ,971.8 ,2013-04-12 22:14 ,951.3 ,2013-04-06 04:39 ,18.2 ,30.4 ,2013-04-30 13:48 ,10.2 ,2013-04-07 04:38 ,... ,0.6 ,93 ,8.3 ,32 ,2013-04-11 13:25 ,271.5 ,... ,20 ,... , ,... , ,43.0 ,2013-04-12 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,960.9 ,... ,968.0 ,2013-05-04 21:28 ,954.2 ,2013-05-19 15:49 ,22.3 ,33.5 ,2013-05-29 10:36 ,11.8 ,2013-05-01 18:14 ,... ,0.6 ,52 ,9.3 ,270 ,2013-05-30 15:56 ,403.5 ,... ,27 ,... , ,... , ,72.0 ,2013-05-30 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,958.2 ,... ,964.4 ,2013-06-05 11:02 ,951.3 ,2013-06-19 15:45 ,25.5 ,34.7 ,2013-06-21 12:20 ,20.5 ,2013-06-06 02:52 ,... ,0.6 ,54 ,8.1 ,110 ,2013-06-23 13:16 ,128.5 ,... ,15 ,... , ,... , ,41.0 ,2013-06-03 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,959.9 ,... ,965.4 ,2013-07-08 08:30 ,910.9 ,2013-07-13 03:37 ,26.4 ,34.7 ,2013-07-01 11:34 ,21.0 ,2013-07-02 21:13 ,... ,0.9 ,87 ,34.7 ,297 ,2013-07-13 03:11 ,247.0 ,... ,11 ,... , ,... , ,105.5 ,2013-07-13 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,957.6 ,... ,965.8 ,2013-08-03 22:56 ,934.2 ,2013-08-21 16:30 ,26.4 ,35.2 ,2013-08-04 11:12 ,21.8 ,2013-08-31 23:45 ,... ,1.0 ,86 ,13.4 ,237 ,2013-08-21 15:49 ,485.0 ,... ,11 ,... , ,... , ,184.5 ,2013-08-21 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,961.4 ,... ,967.2 ,2013-09-07 21:11 ,948.4 ,2013-09-21 17:11 ,23.8 ,31.7 ,2013-09-15 11:35 ,19.2 ,2013-09-26 12:01 ,... ,1.3 ,61 ,25.3 ,66 ,2013-09-21 17:18 ,470.5 ,... ,18 ,... , ,... , ,163.0 ,2013-09-18 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,964.9 ,... ,972.9 ,2013-10-16 21:16 ,948.4 , ,20.3 ,40.0 ,2013-10-24 14:48 ,0.1 ,2013-10-24 23:53 ,... ,1.0 ,2 ,14.5 ,4 ,2013-10-23 11:51 ,302.0 ,... ,23 ,... , ,... , ,70.5 ,2013-10-12 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,969.1 ,... ,975.5 ,2013-11-29 09:02 ,960.3 ,2013-11-25 04:06 ,16.8 ,26.4 ,2013-11-10 12:32 ,-10.0 ,2013-11-17 23:53 ,... ,0.6 ,51 ,8.1 ,103 ,2013-11-04 12:21 ,361.5 ,... ,21 ,... , ,... , ,76.5 ,2013-11-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,969.4 ,... ,976.1 ,2013-12-24 09:35 ,959.9 ,2013-12-09 14:40 ,13.2 ,24.1 ,2013-12-16 14:10 ,6.1 ,2013-12-27 18:42 ,... ,0.6 ,55 ,13.8 ,282 ,2013-12-09 12:25 ,363.5 ,... ,27 ,... , ,... , ,90.0 ,2013-12-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
