,EI,id,long,lat
1,1.0,466880,121.44200000000001,24.9976
2,0.8078740157480314,466900,121.4489,25.1649
3,0.8630212648439657,466910,121.5297,25.1826
4,1.0,466920,121.5149,25.0377
5,0.9641622525787565,466930,121.5445,25.1621
6,0.5746031746031744,466940,121.7405,25.1333
7,0.27401574803149603,466950,122.0797,25.628
8,0.0,466990,121.6133,23.9751
10,0.6645669291338583,467060,121.8574,24.5967
11,0.7472440944881891,467080,121.7565,24.764
12,0.08257381420327234,467110,118.2893,24.4073
13,0.0,467300,119.6675,23.256999999999998
14,0.0,467350,119.5631,23.5655
15,0.0,467410,120.2048,22.9932
16,0.0,467420,120.2367,23.0384
17,0.0,467440,120.3157,22.566
18,0.0,467480,120.4329,23.4959
19,0.2622047244094488,467490,120.6841,24.1457
20,0.4957367192788683,467530,120.8132,23.5082
21,0.0,467540,120.9038,22.3557
22,0.0,467550,120.9595,23.4876
23,1.0,467571,121.0142,24.8279
24,0.0,467590,120.7463,22.0039
25,0.0,467610,121.3734,23.0975
26,0.2440944881889764,467620,121.5583,22.037
27,0.2377952755905512,467650,120.9081,23.8813
28,0.0,467660,121.1546,22.7522
29,0.06850393700787404,467770,120.5234,24.256
31,0.501973951164141,467990,119.9234,26.1693
32,0.84251968503937,C0A520,121.402,24.9749
33,1.0,C0A530,121.7094,24.9382
34,1.0,C0A540,121.7459,24.8928
35,0.48412698412698413,C0A550,121.8237,24.9712
36,1.0,C0A560,121.5028,24.7762
37,1.0,C0A570,121.598,24.8482
38,1.0,C0A580,121.5463,24.9224
39,1.0,C0A640,121.6629,24.9939
40,0.9523809523809523,C0A650,121.7429,25.0027
41,0.0,C0A660,121.8011,25.1132
42,0.0,C0A860,121.633,25.1659
43,0.3787595810485739,C0A870,121.6087,25.1322
44,0.9246031746031746,C0A880,121.9421,25.0178
45,1.0,C0A890,121.8642,25.035999999999998
46,-6.430446194225722,C0A920,121.5653,25.2638
48,0.8492063492063492,C0A940,121.64399999999999,25.2236
49,0.5196850393700787,C0A950,121.9234,25.129
50,1.0,C0A970,122.0021,25.0076
51,0.0,C0A980,121.4697,25.1095
52,0.7952755905511811,C0A9A0,121.5429,25.078000000000003
53,0.7440944881889764,C0A9B0,121.5138,25.1163
54,0.6417322834645669,C0A9C0,121.5372,25.1175
55,0.8385826771653543,C0A9E0,121.50299999999999,25.0903
56,0.8503937007874016,C0A9F0,121.5755,25.0794
59,0.20776234558109724,C0AC40,121.5224,25.1757
60,1.0,C0AC60,121.3697,24.939
61,1.0,C0AC70,121.5646,25.0378
62,0.6535433070866141,C0AC80,121.5757,25.0024
63,0.8070866141732284,C0ACA0,121.4468,25.0515
64,1.0,C0AD00,121.5019,25.2581
65,0.7992125984251969,C0AD10,121.4039,25.1502
66,0.8464566929133859,C0AD30,121.4723,25.0866
67,1.0,C0AD40,121.4452,24.9732
68,1.0,C0AD50,121.3463,24.9515
77,0.9325396825396826,C0C460,121.3523,24.8202
78,1.0,C0C480,121.3232,24.9924
80,1.0,C0C520,121.1853,24.9676
81,1.0,C0C540,121.226,25.0478
82,0.937007874015748,C0C590,121.1533,25.0271
84,1.0,C0C630,121.2655,24.8829
85,1.0,C0C650,121.2146,24.8975
89,1.0,C0D360,121.2086,24.6783
90,1.0,C0D390,121.1739,24.7982
92,1.0,C0D480,121.1508,24.8497
93,1.0,C0D540,121.1169,24.7112
94,0.5445836359235051,C0D550,121.1161,24.526999999999997
95,1.0,C0D560,121.0579,24.7671
96,0.968503937007874,C0D570,120.9055,24.7469
97,1.0,C0D580,121.0252,24.735
98,0.9094488188976378,C0D590,120.9772,24.8707
101,0.9133858267716536,C0E420,120.8889,24.709
102,0.9000000000000009,C0E430,121.0002,24.6018
108,0.9571953781512607,C0E610,120.9302,24.4513
109,1.0,C0E730,120.9122,24.6882
255,0.0,C0R280,120.8368,22.0761
256,0.0,C0R350,120.7358,21.9218
257,0.0,C0R360,120.8022,21.9456
258,0.0,C0R370,120.8446,21.991999999999997
259,0.0,C0R380,120.5896,22.3694
260,0.0,C0R400,120.6927,22.1902
261,0.0,C0R420,120.8406,22.1678
278,0.05606744009939933,C0S680,121.0392,22.9198
279,0.0,C0S690,120.9853,22.609
280,0.0,C0S700,121.0056,22.6849
281,0.0,C0S710,121.12299999999999,22.9177
282,0.07086614173228346,C0S730,121.4753,22.6672
283,0.0,C0S740,121.2095,23.1196
284,0.54387584121189,C0S750,120.9861,23.2484
285,0.0,C0S760,121.1262,23.0691
286,0.0,C0S770,120.9433,22.4785
287,-0.0,C0S790,120.9669,22.5381
288,0.0,C0S810,121.304,22.9727
289,0.531496062992126,C0S830,121.412,23.2868
290,0.0,C0S840,120.8892,22.2797
293,0.7677165354330708,C0T820,121.4956,24.1796
294,0.2125984251968504,C0T870,121.5089,23.9356
296,0.0,C0T960,121.425,23.6607
297,0.2440944881889764,C0T9A0,121.5398,23.8099
298,0.7047244094488189,C0T9B0,121.5372,23.9919
299,0.0,C0T9D0,121.741,24.2668
300,0.952755905511811,C0T9E0,121.58200000000001,23.8806
301,0.2952755905511811,C0T9F0,121.5425,23.7971
302,0.09055118110236221,C0T9G0,121.4201,23.7353
303,0.7952755905511811,C0T9H0,121.5274,23.6829
304,0.9763779527559056,C0T9I0,121.5148,23.5839
305,0.8976377952755905,C0T9M0,121.495,23.4552
307,0.8858267716535433,C0U600,121.7655,24.8175
309,1.0,C0U650,121.5871,24.6753
310,0.28181736798471124,C0U710,121.5257,24.5055
311,0.14960629921259844,C0U750,121.9531,24.8417
312,0.30708661417322836,C0U760,121.8331,24.5219
313,0.0,C0U770,121.8102,24.4494
392,0.0,C0Z050,121.2132,23.3457
393,0.0,C0Z061,121.3397,23.3215
394,0.0,C0Z070,121.3741,23.4681
