,EI,id,long,lat
1,-1.2162499999999996,466880,121.44200000000001,24.9976
2,-1.1643307086614165,466900,121.4489,25.1649
3,0.0,466910,121.5297,25.1826
4,-0.6666666666666665,466920,121.5149,25.0377
5,-0.0,466930,121.5445,25.1621
6,-1.0500000000000007,466940,121.7405,25.1333
7,-0.0,466950,122.0797,25.628
8,-0.0,466990,121.6133,23.9751
10,-0.4499999999999993,467060,121.8574,24.5967
11,-0.4814370078740161,467080,121.7565,24.764
12,-0.0,467110,118.2893,24.4073
13,-0.0,467300,119.6675,23.256999999999998
14,-0.0,467350,119.5631,23.5655
15,-0.8366141732283461,467410,120.2048,22.9932
16,-0.3253937007874014,467420,120.2367,23.0384
17,-0.3765354330708659,467440,120.3157,22.566
18,-0.9740157480314959,467480,120.4329,23.4959
19,-0.8397637795275594,467490,120.6841,24.1457
20,0.2646293861055872,467530,120.8132,23.5082
21,-0.5285826771653542,467540,120.9038,22.3557
22,0.0675236425677617,467550,120.9595,23.4876
23,-0.43405511811023606,467571,121.0142,24.8279
24,-0.27500000000000036,467590,120.7463,22.0039
25,-0.0,467610,121.3734,23.0975
26,0.12428571428571437,467620,121.5583,22.037
27,0.2999999999999998,467650,120.9081,23.8813
28,-0.23588582677165323,467660,121.1546,22.7522
29,-0.0749606299212599,467770,120.5234,24.256
31,-0.0,467990,119.9234,26.1693
32,-1.3249999999999993,C0A520,121.402,24.9749
33,-0.875,C0A530,121.7094,24.9382
34,-0.75,C0A540,121.7459,24.8928
35,-0.09672619047619048,C0A550,121.8237,24.9712
36,-0.45472440944881887,C0A560,121.5028,24.7762
37,-0.713582677165354,C0A570,121.598,24.8482
38,-0.7102362204724407,C0A580,121.5463,24.9224
39,-1.125,C0A640,121.6629,24.9939
40,-1.0817460317460323,C0A650,121.7429,25.0027
41,-1.25,C0A660,121.8011,25.1132
42,-0.6500000000000004,C0A860,121.633,25.1659
43,0.0720238095238097,C0A870,121.6087,25.1322
44,-0.5119047619047619,C0A880,121.9421,25.0178
45,-0.7386904761904765,C0A890,121.8642,25.035999999999998
46,-0.8499999999999996,C0A920,121.5653,25.2638
48,-1.1515748031496063,C0A940,121.64399999999999,25.2236
49,-0.5,C0A950,121.9234,25.129
50,-0.6500000000000004,C0A970,122.0021,25.0076
51,-1.255905511811023,C0A980,121.4697,25.1095
52,-0.7857142857142853,C0A9A0,121.5429,25.078000000000003
53,-1.3499999999999996,C0A9B0,121.5138,25.1163
54,-0.9749999999999996,C0A9C0,121.5372,25.1175
55,-1.3499999999999996,C0A9E0,121.50299999999999,25.0903
56,-0.8999999999999996,C0A9F0,121.5755,25.0794
59,0.0742063492063493,C0AC40,121.5224,25.1757
60,-1.4749999999999996,C0AC60,121.3697,24.939
61,-1.5,C0AC70,121.5646,25.0378
62,-1.5,C0AC80,121.5757,25.0024
63,-1.4250000000000007,C0ACA0,121.4468,25.0515
64,-0.434645669291339,C0AD00,121.5019,25.2581
65,-1.0491141732283467,C0AD10,121.4039,25.1502
66,-1.1999999999999993,C0AD30,121.4723,25.0866
67,-0.9381944444444442,C0AD40,121.4452,24.9732
68,-1.3249999999999993,C0AD50,121.3463,24.9515
77,-0.5598425196850391,C0C460,121.3523,24.8202
78,-1.0875984251968505,C0C480,121.3232,24.9924
80,-0.8858267716535433,C0C520,121.1853,24.9676
81,-0.8303149606299216,C0C540,121.226,25.0478
82,-0.4358267716535435,C0C590,121.1533,25.0271
84,-1.0284448818897631,C0C630,121.2655,24.8829
85,-0.4966535433070864,C0C650,121.2146,24.8975
89,-0.5023622047244101,C0D360,121.2086,24.6783
90,-0.6333661417322834,C0D390,121.1739,24.7982
92,-0.3379921259842518,C0D480,121.1508,24.8497
93,-0.8000000000000007,C0D540,121.1169,24.7112
94,0.5895653543307086,C0D550,121.1161,24.526999999999997
95,-0.4207677165354331,C0D560,121.0579,24.7671
