,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
1,02,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
2,03,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
3,04,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
4,05,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
5,06,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
6,07,1010.3 ,... ,1013.0 ,2015-07-27 22:00 ,1006.5 ,2015-07-25 15:50 ,28.5 ,32.5 ,2015-07-30 11:01 ,23.0 ,2015-07-28 17:58 ,... ,2.6 ,16 ,11.7 ,102 ,2015-07-28 16:59 ,29.0 ,... ,4 ,... , ,... , ,13.5 ,2015-07-22 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
7,08,1004.6 ,... ,1012.2 ,2015-08-02 09:58 ,970.0 ,2015-08-08 07:30 ,27.9 ,33.1 ,2015-08-22 11:44 ,23.3 ,2015-08-29 17:14 ,... ,3.6 ,172 ,34.6 ,284 ,2015-08-08 13:06 ,586.5 ,... ,15 ,... , ,... , ,198.0 ,2015-08-26 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
8,09,1008.4 ,... ,1014.3 ,2015-09-17 22:57 ,988.3 ,2015-09-28 21:20 ,27.8 ,32.7 ,2015-09-09 10:52 ,24.0 ,2015-09-29 03:54 ,... ,3.5 ,9 ,27.4 ,238 ,2015-09-29 02:42 ,227.0 ,... ,5 ,... , ,... , ,153.5 ,2015-09-29 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
9,10,1012.1 ,... ,1020.1 ,2015-10-31 08:53 ,1001.5 ,2015-10-20 15:31 ,25.9 ,31.6 ,2015-10-01 10:46 ,20.6 ,2015-10-14 06:45 ,... ,3.4 ,7 ,14.4 ,12 ,2015-10-31 15:44 ,26.0 ,... ,5 ,... , ,... , ,13.0 ,2015-10-09 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
10,11,1015.6 ,... ,1022.8 ,2015-11-28 08:57 ,1011.0 ,2015-11-25 14:30 ,24.1 ,30.3 ,2015-11-17 13:47 ,13.4 ,2015-11-27 06:45 ,... ,4.0 ,7 ,20.0 ,29 ,2015-11-26 01:55 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2015-11-21 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1018.0 ,... ,1025.3 ,2015-12-29 09:32 ,1009.6 ,2015-12-10 03:08 ,19.4 ,27.3 ,2015-12-23 14:45 ,11.3 ,2015-12-17 20:45 ,... ,5.2 ,8 ,24.0 ,3 ,2015-12-02 12:34 ,22.0 ,... ,3 ,... , ,... , ,19.5 ,2015-12-10 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
