,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.8 ,... ,1025.2 ,2017-01-24 09:46 ,1009.0 ,2017-01-08 15:02 ,18.3 ,24.3 ,2017-01-08 10:37 ,13.1 ,2017-01-21 05:51 ,... ,4.8 ,35 ,17.6 ,4 ,2017-01-30 15:10 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-01-26 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
1,02,1018.2 ,... ,1028.0 ,2017-02-14 09:11 ,1009.5 ,2017-02-05 17:53 ,17.2 ,28.5 ,2017-02-20 11:39 ,10.5 ,2017-02-11 06:02 ,... ,5.0 ,9 ,19.6 ,1 ,2017-02-09 14:58 ,1.0 ,... ,1 ,... , ,... , ,1.0 ,2017-02-22 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
2,03,1014.9 ,... ,1022.6 ,2017-03-27 09:26 ,1008.0 ,2017-03-13 15:29 ,20.2 ,29.1 ,2017-03-31 13:03 ,13.2 ,2017-03-03 05:32 ,... ,4.4 ,10 ,21.6 ,35 ,2017-03-31 23:18 ,5.5 ,... ,3 ,... , ,... , ,2.5 ,2017-03-08 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
3,04,1012.1 ,... ,1021.1 ,2017-04-03 08:59 ,1005.1 ,2017-04-10 17:01 ,23.7 ,31.1 ,2017-04-10 11:55 ,14.7 ,2017-04-01 05:10 ,... ,3.4 ,1 ,20.5 ,37 ,2017-04-01 00:17 ,94.5 ,... ,7 ,... , ,... , ,33.0 ,2017-04-12 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
4,05,1009.2 ,... ,1015.7 ,2017-05-06 09:42 ,1003.0 ,2017-05-31 19:01 ,26.8 ,32.5 ,2017-05-12 12:07 ,21.3 ,2017-05-16 18:22 ,... ,3.0 ,1 ,16.4 ,30 ,2017-05-16 19:17 ,92.5 ,... ,6 ,... , ,... , ,59.0 ,2017-05-16 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
5,06,1007.4 ,... ,1011.2 ,2017-06-27 22:44 ,1001.8 ,2017-06-01 17:17 ,30.2 ,40.5 ,2017-06-22 13:10 ,-38.9 ,2017-06-18 02:56 ,... ,3.1 ,175 ,13.8 ,184 ,2017-06-12 16:28 ,352.5 ,... ,14 ,... , ,... , ,120.0 ,2017-06-15 00:00 ,91 ,... ,... ,... ,... ,... , ,... 
6,07,1007.0 ,... ,1013.0 ,2017-07-07 22:36 ,988.6 ,2017-07-30 17:43 ,29.4 ,33.3 ,2017-07-14 15:42 ,-39.1 ,2017-07-30 18:15 ,... ,2.9 ,238 ,28.9 ,262 ,2017-07-12 18:25 ,420.0 ,... ,10 ,... , ,... , ,305.0 ,2017-07-31 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
7,08,1006.2 ,... ,1013.2 ,2017-08-27 22:51 ,992.9 ,2017-08-22 02:51 ,29.4 ,33.4 ,2017-08-23 14:20 ,-39.1 ,2017-08-01 05:20 ,... ,2.5 ,19 ,13.7 ,348 ,2017-08-21 17:28 ,126.5 ,... ,12 ,... , ,... , ,41.0 ,2017-08-22 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1008.3 ,... ,1013.8 ,2017-09-30 08:56 ,1000.6 ,2017-09-01 04:58 ,29.1 ,32.9 ,2017-09-16 12:00 ,25.3 ,2017-09-29 17:02 ,... ,2.6 ,1 ,13.7 ,21 ,2017-09-13 18:19 ,49.0 ,... ,7 ,... , ,... , ,38.5 ,2017-09-02 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
9,10,1010.0 ,... ,1019.0 ,2017-10-30 08:50 ,998.5 ,2017-10-13 16:25 ,26.1 ,34.6 ,2017-10-11 10:19 ,17.7 ,2017-10-31 06:22 ,... ,4.5 ,20 ,18.6 ,21 ,2017-10-21 15:16 ,44.0 ,... ,3 ,... , ,... , ,17.0 ,2017-10-14 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,1014.0 ,... ,1020.8 ,2017-11-24 09:14 ,1007.7 ,2017-11-17 15:00 ,22.6 ,28.5 ,2017-11-17 11:34 ,17.3 ,2017-11-23 21:39 ,... ,4.7 ,14 ,18.2 ,17 ,2017-11-23 04:39 ,7.5 ,... ,3 ,... , ,... , ,6.5 ,2017-11-11 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
11,12,1017.3 ,... ,1024.8 ,2017-12-20 09:45 ,1011.2 ,2017-12-03 16:00 ,18.1 ,23.2 ,2017-12-01 12:19 ,12.7 ,2017-12-09 03:15 ,... ,5.3 ,35 ,18.3 ,37 ,2017-12-08 15:16 ,2.5 ,... ,2 ,... , ,... , ,1.5 ,2017-12-09 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
