,EI,id,long,lat
1,1.0,466880,121.44200000000001,24.9976
2,1.0,466900,121.4489,25.1649
3,1.0,466910,121.5297,25.1826
4,1.0,466920,121.5149,25.0377
5,0.8963636363636364,466930,121.5445,25.1621
6,1.0,466940,121.7405,25.1333
7,1.0,466950,122.0797,25.628
8,0.5654545454545454,466990,121.6133,23.9751
10,0.6599999999999999,467060,121.8574,24.5967
11,0.36727272727272725,467080,121.7565,24.764
12,0.6618181818181817,467110,118.2893,24.4073
13,0.0,467300,119.6675,23.256999999999998
14,0.0,467350,119.5631,23.5655
15,0.0,467410,120.2048,22.9932
16,0.0,467420,120.2367,23.0384
17,0.0,467440,120.3157,22.566
18,0.03454545454545455,467480,120.4329,23.4959
19,0.32,467490,120.6841,24.1457
20,0.5236363636363636,467530,120.8132,23.5082
21,0.22727272727272727,467540,120.9038,22.3557
22,0.2636363636363636,467550,120.9595,23.4876
23,1.0,467571,121.0142,24.8279
24,0.0,467590,120.7463,22.0039
25,0.969090909090909,467610,121.3734,23.0975
26,1.0,467620,121.5583,22.037
27,0.5127272727272728,467650,120.9081,23.8813
28,0.8490909090909091,467660,121.1546,22.7522
29,0.5181818181818182,467770,120.5234,24.256
31,0.42857142857142855,467990,119.9234,26.1693
32,1.0,C0A520,121.402,24.9749
33,0.6330849126732487,C0A530,121.7094,24.9382
34,0.7363636363636363,C0A540,121.7459,24.8928
35,1.0,C0A550,121.8237,24.9712
36,0.5727272727272728,C0A560,121.5028,24.7762
37,1.0,C0A570,121.598,24.8482
38,0.7363636363636363,C0A580,121.5463,24.9224
39,0.6272727272727273,C0A640,121.6629,24.9939
40,1.0,C0A650,121.7429,25.0027
41,0.9,C0A660,121.8011,25.1132
42,0.0,C0A860,121.633,25.1659
43,0.8272727272727273,C0A870,121.6087,25.1322
44,0.9090909090909091,C0A880,121.9421,25.0178
45,0.9454545454545454,C0A890,121.8642,25.035999999999998
46,1.0,C0A920,121.5653,25.2638
48,1.0,C0A940,121.64399999999999,25.2236
49,0.2636363636363636,C0A950,121.9234,25.129
50,1.0,C0A970,122.0021,25.0076
51,0.5,C0A980,121.4697,25.1095
52,0.7181818181818181,C0A9A0,121.5429,25.078000000000003
53,0.6909090909090909,C0A9B0,121.5138,25.1163
54,0.6454545454545455,C0A9C0,121.5372,25.1175
55,0.7727272727272727,C0A9E0,121.50299999999999,25.0903
56,0.6272727272727273,C0A9F0,121.5755,25.0794
59,0.7454545454545455,C0AC40,121.5224,25.1757
60,1.0,C0AC60,121.3697,24.939
61,0.5454545454545454,C0AC70,121.5646,25.0378
62,0.39090909090909093,C0AC80,121.5757,25.0024
63,0.8818181818181818,C0ACA0,121.4468,25.0515
64,1.0,C0AD00,121.5019,25.2581
65,1.0,C0AD10,121.4039,25.1502
66,0.7454545454545455,C0AD30,121.4723,25.0866
67,1.0,C0AD40,121.4452,24.9732
68,0.8818181818181818,C0AD50,121.3463,24.9515
77,1.0,C0C460,121.3523,24.8202
78,1.0,C0C480,121.3232,24.9924
80,1.0,C0C520,121.1853,24.9676
81,1.0,C0C540,121.226,25.0478
82,1.0,C0C590,121.1533,25.0271
84,1.0,C0C630,121.2655,24.8829
85,1.0,C0C650,121.2146,24.8975
89,1.0,C0D360,121.2086,24.6783
90,1.0,C0D390,121.1739,24.7982
92,1.0,C0D480,121.1508,24.8497
93,1.0,C0D540,121.1169,24.7112
94,1.0,C0D550,121.1161,24.526999999999997
95,1.0,C0D560,121.0579,24.7671
96,1.0,C0D570,120.9055,24.7469
97,1.0,C0D580,121.0252,24.735
98,1.0,C0D590,120.9772,24.8707
101,1.0,C0E420,120.8889,24.709
102,1.0,C0E430,121.0002,24.6018
108,1.0,C0E610,120.9302,24.4513
109,1.0,C0E730,120.9122,24.6882
