,EI,id,long,lat
1,-0.09999999999999898,466880,121.44200000000001,24.9976
2,-0.06666666666666754,466900,121.4489,25.1649
3,1.0,466910,121.5297,25.1826
4,-0.2666666666666657,466920,121.5149,25.0377
5,1.0,466930,121.5445,25.1621
6,0.33333333333333337,466940,121.7405,25.1333
7,0.7748031496062993,466950,122.0797,25.628
8,0.5,466990,121.6133,23.9751
10,0.9000000000000009,467060,121.8574,24.5967
11,-0.03333333333333388,467080,121.7565,24.764
12,0.23740157480314983,467110,118.2893,24.4073
13,1.0,467300,119.6675,23.256999999999998
14,0.7000000000000004,467350,119.5631,23.5655
15,0.21328413284132888,467410,120.2048,22.9932
16,0.002767527675276789,467420,120.2367,23.0384
17,0.0852398523985242,467440,120.3157,22.566
18,0.03333333333333377,467480,120.4329,23.4959
19,0.2000000000000005,467490,120.6841,24.1457
20,0.0,467530,120.8132,23.5082
21,-0.0,467540,120.9038,22.3557
22,0.0,467550,120.9595,23.4876
23,-0.09999999999999898,467571,121.0142,24.8279
24,0.42863468634686336,467590,120.7463,22.0039
25,0.5333333333333339,467610,121.3734,23.0975
26,1.0,467620,121.5583,22.037
27,0.16974169741697417,467650,120.9081,23.8813
28,0.09999999999999909,467660,121.1546,22.7522
29,0.7999999999999995,467770,120.5234,24.256
31,1.0,467990,119.9234,26.1693
32,-0.06654366543665524,C0A520,121.402,24.9749
33,0.599999999999999,C0A530,121.7094,24.9382
34,0.9000000000000009,C0A540,121.7459,24.8928
35,0.7333333333333343,C0A550,121.8237,24.9712
36,0.6333333333333329,C0A560,121.5028,24.7762
37,0.7369618696186953,C0A570,121.598,24.8482
38,-0.15584255842558487,C0A580,121.5463,24.9224
39,0.5601476014760155,C0A640,121.6629,24.9939
40,0.9333333333333323,C0A650,121.7429,25.0027
41,0.5333333333333339,C0A660,121.8011,25.1132
42,0.6666666666666667,C0A860,121.633,25.1659
43,1.0,C0A870,121.6087,25.1322
44,0.6333333333333329,C0A880,121.9421,25.0178
45,0.7999999999999995,C0A890,121.8642,25.035999999999998
46,0.599999999999999,C0A920,121.5653,25.2638
48,0.2666666666666657,C0A940,121.64399999999999,25.2236
49,0.9666666666666662,C0A950,121.9234,25.129
50,0.5,C0A970,122.0021,25.0076
51,-0.5,C0A980,121.4697,25.1095
52,0.2000000000000005,C0A9A0,121.5429,25.078000000000003
53,-0.16666666666666674,C0A9B0,121.5138,25.1163
54,-0.13333333333333286,C0A9C0,121.5372,25.1175
55,-0.09999999999999898,C0A9E0,121.50299999999999,25.0903
56,-0.06666666666666754,C0A9F0,121.5755,25.0794
59,1.0,C0AC40,121.5224,25.1757
60,-0.06623616236162294,C0AC60,121.3697,24.939
61,-0.030565805658057082,C0AC70,121.5646,25.0378
62,0.07712177121771148,C0AC80,121.5757,25.0024
63,-0.23333333333333428,C0ACA0,121.4468,25.0515
64,0.599999999999999,C0AD00,121.5019,25.2581
65,0.16666666666666663,C0AD10,121.4039,25.1502
66,0.23333333333333428,C0AD30,121.4723,25.0866
67,0.06974169741697353,C0AD40,121.4452,24.9732
68,0.1617466174661746,C0AD50,121.3463,24.9515
69,-0.04637146371463775,C0AG90,121.4904,24.9926
70,0.13333333333333286,C0AH00,121.6588,25.0669
77,1.0,C0C460,121.3523,24.8202
78,0.2000000000000005,C0C480,121.3232,24.9924
79,-0.23333333333333428,C0C490,121.2833,24.9287
80,0.2999999999999995,C0C520,121.1853,24.9676
81,0.2666666666666657,C0C540,121.226,25.0478
82,0.46666666666666623,C0C590,121.1533,25.0271
83,-0.36666666666666714,C0C620,121.2658,25.0843
84,0.16666666666666663,C0C630,121.2655,24.8829
85,0.599999999999999,C0C650,121.2146,24.8975
89,0.9333333333333323,C0D360,121.2086,24.6783
90,0.13333333333333286,C0D390,121.1739,24.7982
91,0.5333333333333339,C0D430,121.0172,24.6905
92,0.6333333333333329,C0D480,121.1508,24.8497
93,0.5666666666666675,C0D540,121.1169,24.7112
94,1.0,C0D550,121.1161,24.526999999999997
95,0.5,C0D560,121.0579,24.7671
96,0.2666666666666657,C0D570,120.9055,24.7469
97,0.37296587926509167,C0D580,121.0252,24.735
98,0.03333333333333377,C0D590,120.9772,24.8707
101,0.599999999999999,C0E420,120.8889,24.709
102,0.2000000000000005,C0E430,121.0002,24.6018
103,0.33333333333333337,C0E520,120.8709,24.4149
104,0.43333333333333235,C0E530,120.766,24.4109
105,0.33333333333333337,C0E540,120.7839,24.6065
106,0.599999999999999,C0E550,120.8854,24.5835
107,0.5,C0E590,120.7046,24.4719
108,1.0,C0E610,120.9302,24.4513
109,0.23333333333333428,C0E730,120.9122,24.6882
110,0.43333333333333235,C0E740,120.8648,24.6371
111,0.03333333333333377,C0E750,120.8246,24.5646
112,0.5,C0E780,120.7909,24.4897
113,0.7999999999999995,C0E790,120.8248,24.3128
114,0.6333333333333329,C0E810,120.7485,24.5629
115,0.23333333333333428,C0E820,120.92,24.5391
120,0.6666666666666667,C0F000,120.5721,24.153000000000002
124,0.7000000000000004,C0F850,120.833,24.2464
125,0.055350553505535055,C0F861,121.2437,24.2475
126,-0.13333333333333286,C0F930,120.6404,24.3477
127,0.2666666666666657,C0F970,120.7223,24.1731
128,0.9666666666666662,C0F9A0,120.7511,24.1036
129,0.16666666666666663,C0F9I0,120.6583,24.2725
130,0.7333333333333343,C0F9K0,120.588,24.3451
131,0.5666666666666675,C0F9L0,120.7297,24.3104
132,0.2666666666666657,C0F9M0,120.7207,24.2543
133,-0.36666666666666714,C0F9N0,120.7014,24.0925
134,-0.13333333333333286,C0F9O0,120.7039,24.2131
135,0.0,C0F9P0,120.5622,24.3123
136,0.4000000000000009,C0F9Q0,120.7057,24.3478
137,0.599999999999999,C0F9R0,120.529,24.1845
138,0.13333333333333286,C0F9S0,120.6241,24.1071
139,0.13333333333333286,C0F9T0,120.6413,24.1795
140,0.23333333333333428,C0F9U0,120.63799999999999,24.136999999999997
141,0.9280442804428044,C0F9V0,120.8158,24.2002
145,0.0,C0G620,120.6213,24.0157
146,-0.4666666666666661,C0G640,120.4305,24.0753
147,-0.2999999999999996,C0G650,120.5856,23.9465
148,0.0,C0G660,120.4791,23.9484
154,0.16666666666666663,C0G770,120.4377,24.0413
155,-1.6333333333333329,C0G780,120.5039,24.0341
156,-0.13333333333333286,C0G790,120.5523,24.0161
157,0.2999999999999995,C0G800,120.4317,24.0004
158,-0.06666666666666754,C0G810,120.5255,23.9476
159,0.0,C0G820,120.5094,23.9017
160,0.33333333333333337,C0G830,120.4528,23.866
161,-0.09999999999999898,C0G840,120.5142,23.8776
162,-0.03333333333333388,C0G850,120.5883,23.8568
163,-0.2666666666666657,C0G860,120.5862,23.8976
164,0.16666666666666663,C0G870,120.32,23.9223
165,0.0,C0G880,120.6173,23.8107
166,0.5,C0G890,120.4844,24.1489
168,-0.13333333333333286,C0H950,120.7664,23.8844
169,0.09999999999999909,C0H960,120.6809,23.9737
172,0.0,C0H9C0,121.2725,24.1434
175,1.0,C0I090,120.7873,23.7281
176,-0.24784747847478425,C0I110,120.6882,23.7612
187,0.0,C0K240,120.6935,23.5956
255,-0.0,C0R280,120.8368,22.0761
256,0.7242312423124222,C0R350,120.7358,21.9218
257,0.5763837638376391,C0R360,120.8022,21.9456
258,0.29225092250922546,C0R370,120.8446,21.991999999999997
259,-0.0,C0R380,120.5896,22.3694
260,0.0,C0R400,120.6927,22.1902
261,0.0,C0R420,120.8406,22.1678
278,1.0,C0S680,121.0392,22.9198
279,0.49114391143911507,C0S690,120.9853,22.609
280,0.16482164821648213,C0S700,121.0056,22.6849
281,0.33333333333333337,C0S710,121.12299999999999,22.9177
282,1.0,C0S730,121.4753,22.6672
283,-0.2999999999999996,C0S740,121.2095,23.1196
284,0.0,C0S750,120.9861,23.2484
285,1.0,C0S760,121.1262,23.0691
286,0.0,C0S770,120.9433,22.4785
287,0.035301353013530656,C0S790,120.9669,22.5381
288,-1.2999999999999994,C0S810,121.304,22.9727
289,0.599999999999999,C0S830,121.412,23.2868
290,-0.0,C0S840,120.8892,22.2797
292,0.8726937269372693,C0T790,121.3161,24.1861
293,1.0,C0T820,121.4956,24.1796
294,0.33333333333333337,C0T870,121.5089,23.9356
295,0.4000000000000009,C0T900,121.4415,23.8119
296,0.13333333333333286,C0T960,121.425,23.6607
297,1.0,C0T9A0,121.5398,23.8099
298,1.0,C0T9B0,121.5372,23.9919
299,-0.03333333333333388,C0T9D0,121.741,24.2668
300,1.0,C0T9E0,121.58200000000001,23.8806
301,0.5333333333333339,C0T9F0,121.5425,23.7971
302,0.5,C0T9G0,121.4201,23.7353
303,0.5666666666666675,C0T9H0,121.5274,23.6829
304,0.46666666666666623,C0T9I0,121.5148,23.5839
305,0.8333333333333334,C0T9M0,121.495,23.4552
306,1.0,C0U520,121.6413,24.753
307,0.13333333333333286,C0U600,121.7655,24.8175
309,0.7000000000000004,C0U650,121.5871,24.6753
310,1.0,C0U710,121.5257,24.5055
311,0.6732283464566929,C0U750,121.9531,24.8417
312,-0.2000000000000004,C0U760,121.8331,24.5219
313,-0.13333333333333286,C0U770,121.8102,24.4494
314,0.23333333333333428,C0U780,121.7979,24.6864
391,-0.13333333333333286,C0Z020,121.2623,23.2087
392,1.0,C0Z050,121.2132,23.3457
393,-0.23333333333333428,C0Z061,121.3397,23.3215
394,0.599999999999999,C0Z070,121.3741,23.4681
395,-0.16666666666666674,C0Z080,121.3782,23.5876
